name,package,n_char,n_examples,n_example_comments,n_functions,deprecated
vec_ptype2.blob,blob,965,0,0,3,FALSE
as.blob,blob,620,0,0,1,TRUE
is_blob,blob,1045,0,0,5,FALSE
vec_cast.blob,blob,631,0,0,3,FALSE
as_blob,blob,1045,0,0,5,FALSE
validate_blob,blob,1045,0,0,5,FALSE
new_blob,blob,1045,1,0,5,FALSE
blob,blob,1045,3,0,5,FALSE
augment_columns,broom,1232,0,0,2,FALSE
bootstrap,broom,886,1,0,1,TRUE
tidy,broom,511,0,0,NA,FALSE
finish_glance,broom,1264,0,0,1,FALSE
tidy_irlba,broom,4200,0,0,1,FALSE
glance,broom,511,0,0,NA,FALSE
tidyMCMC,broom,3320,0,3,12,TRUE
fix_data_frame,broom,603,0,0,1,FALSE
confint_tidy,broom,1212,0,0,1,FALSE
augment,broom,511,0,0,NA,FALSE
src_local,dplyr,816,0,0,2,FALSE
db_analyze,dplyr,4362,0,0,28,FALSE
n_groups,dplyr,882,2,0,2,FALSE
distinct,dplyr,2093,12,6,1,FALSE
summarise_,dplyr,4321,0,0,21,TRUE
group_split,dplyr,3764,4,5,2,FALSE
group_by_if,dplyr,3024,2,5,6,FALSE
sample_n,dplyr,2248,6,3,3,FALSE
group_indices_,dplyr,4321,0,0,21,TRUE
as_tibble,dplyr,1470,0,0,NA,FALSE
nest_join,dplyr,7365,1,7,10,FALSE
tbl_nongroup_vars,dplyr,608,0,0,2,FALSE
is.src,dplyr,655,0,0,2,FALSE
summarize_each,dplyr,1398,0,0,6,TRUE
order_by,dplyr,1128,3,0,1,FALSE
new_grouped_df,dplyr,1406,1,2,2,FALSE
any_vars,dplyr,1149,0,0,2,FALSE
collapse,dplyr,1466,1,3,3,FALSE
tbl_cube,dplyr,3993,4,9,1,FALSE
db_commit,dplyr,4362,0,0,28,FALSE
left_join,dplyr,7365,1,7,10,FALSE
matches,dplyr,1470,0,0,NA,FALSE
select_vars,dplyr,1265,0,0,4,TRUE
tbl_df,dplyr,249,0,0,1,TRUE
is.tbl,dplyr,479,0,0,3,FALSE
compare_tbls2,dplyr,3011,0,4,6,FALSE
group_by_at,dplyr,3024,1,5,6,FALSE
pull,dplyr,1176,5,1,1,FALSE
min_rank,dplyr,2174,1,2,6,FALSE
tally_,dplyr,4321,0,0,21,TRUE
progress_estimated,dplyr,1375,5,2,1,FALSE
anti_join,dplyr,7365,1,7,10,FALSE
%>%,dplyr,1470,0,0,NA,FALSE
db_create_table,dplyr,4362,0,0,28,FALSE
lag,dplyr,1320,4,1,2,FALSE
syms,dplyr,2156,0,0,NA,FALSE
db_desc,dplyr,4362,0,0,28,FALSE
db_data_type,dplyr,4362,0,0,28,FALSE
tbl_vars,dplyr,608,0,0,2,FALSE
mutate_if,dplyr,6718,9,22,6,FALSE
db_create_index,dplyr,4362,0,0,28,FALSE
ends_with,dplyr,1470,0,0,NA,FALSE
arrange_all,dplyr,2241,3,3,3,FALSE
funs,dplyr,1889,6,3,1,FALSE
dim_desc,dplyr,359,1,0,1,FALSE
check_dbplyr,dplyr,751,0,0,2,FALSE
rbind_all,dplyr,3585,0,14,2,FALSE
src_tbls,dplyr,374,0,0,1,FALSE
eval_tbls2,dplyr,3011,0,4,6,FALSE
last_col,dplyr,1470,0,0,NA,FALSE
arrange_if,dplyr,2241,0,3,3,FALSE
.data,dplyr,2156,0,0,NA,FALSE
is_grouped_df,dplyr,706,0,0,3,FALSE
rowwise,dplyr,1140,1,0,1,FALSE
db_write_table,dplyr,4362,0,0,28,FALSE
do,dplyr,4155,10,4,1,FALSE
n_distinct,dplyr,495,1,0,1,FALSE
bind_cols,dplyr,3585,3,14,2,FALSE
src_df,dplyr,816,1,0,2,FALSE
sql_set_op,dplyr,4362,0,0,28,FALSE
top_frac,dplyr,1901,1,6,2,FALSE
group_keys,dplyr,3764,4,5,2,FALSE
sql_escape_ident,dplyr,4362,0,0,28,FALSE
mutate_at,dplyr,6718,4,22,6,FALSE
enquos,dplyr,2156,0,0,NA,FALSE
enexprs,dplyr,380,0,0,NA,FALSE
sql_select,dplyr,4362,0,0,28,FALSE
as.tbl_cube,dplyr,1291,0,0,17,FALSE
tally,dplyr,4129,8,11,5,FALSE
transmute_,dplyr,4321,0,0,21,TRUE
bind_rows,dplyr,3585,12,14,2,FALSE
last,dplyr,1819,3,2,3,FALSE
filter_at,dplyr,3184,3,13,3,FALSE
union,dplyr,1523,6,5,5,FALSE
semi_join,dplyr,7365,1,7,10,FALSE
db_drop_table,dplyr,4362,0,0,28,FALSE
sample_frac,dplyr,2248,6,3,3,FALSE
group_vars,dplyr,907,1,0,2,FALSE
select_all,dplyr,2951,4,4,6,FALSE
group_by_,dplyr,4321,0,0,21,TRUE
slice,dplyr,2446,6,6,1,FALSE
lead,dplyr,1320,4,1,2,FALSE
vars,dplyr,1118,0,0,1,FALSE
summarise_each_,dplyr,1398,0,0,6,TRUE
distinct_prepare,dplyr,699,0,0,3,FALSE
summarize,dplyr,4483,0,12,2,FALSE
tibble,dplyr,1470,0,0,NA,FALSE
sql_subquery,dplyr,4362,0,0,28,FALSE
group_indices,dplyr,871,1,0,1,FALSE
sym,dplyr,2156,0,0,NA,FALSE
right_join,dplyr,7365,1,7,10,FALSE
expr,dplyr,2156,0,0,NA,FALSE
db_has_table,dplyr,4362,0,0,28,FALSE
summarise_at,dplyr,6012,2,15,6,FALSE
ungroup,dplyr,3924,2,10,2,FALSE
add_rownames,dplyr,457,1,0,1,TRUE
transmute_all,dplyr,6718,0,22,6,FALSE
show_query,dplyr,1551,1,4,2,FALSE
db_begin,dplyr,4362,0,0,28,FALSE
group_by_drop_default,dplyr,650,3,0,1,FALSE
coalesce,dplyr,1285,3,3,1,FALSE
wrap_dbplyr_obj,dplyr,751,2,0,2,FALSE
distinct_at,dplyr,2425,1,2,3,FALSE
db_create_indexes,dplyr,4362,0,0,28,FALSE
db_list_tables,dplyr,4362,0,0,28,FALSE
compute,dplyr,1466,1,3,3,FALSE
mutate_,dplyr,4321,0,0,21,TRUE
lst,dplyr,1470,0,0,NA,FALSE
filter,dplyr,5364,12,16,1,FALSE
mutate,dplyr,6454,15,23,2,FALSE
inner_join,dplyr,7365,2,7,10,FALSE
db_query_fields,dplyr,4362,0,0,28,FALSE
rename_vars_,dplyr,4321,0,0,21,TRUE
