package,downloads_last_month,camp,is_tidy,has_master_help
blob,135280,tidy_adjacent,TRUE,FALSE
broom,412455,tidy_adjacent,TRUE,TRUE
dplyr,1098472,tidy_core,TRUE,TRUE
forcats,362094,tidy_core,TRUE,TRUE
ggplot2,985923,tidy_core,TRUE,TRUE
glue,813331,tidy_adjacent,TRUE,FALSE
googledrive,4380,tidy_adjacent,TRUE,TRUE
haven,386550,tidy_adjacent,TRUE,FALSE
hms,591896,tidy_adjacent,TRUE,TRUE
lubridate,587482,tidy_adjacent,TRUE,TRUE
magrittr,3395593,tidy_adjacent,TRUE,TRUE
purrr,716141,tidy_core,TRUE,TRUE
readr,479400,tidy_core,TRUE,TRUE
readxl,453301,tidy_adjacent,TRUE,TRUE
stringr,769469,tidy_core,TRUE,TRUE
tibble,889087,tidy_core,TRUE,TRUE
tidyr,755244,tidy_core,TRUE,TRUE
askpass,412092,non_tidy,FALSE,FALSE
aws.s3,2809121,non_tidy,FALSE,TRUE
backports,878563,non_tidy,FALSE,TRUE
BH,591302,non_tidy,FALSE,TRUE
crosstalk,479160,non_tidy,FALSE,FALSE
digest,1012313,non_tidy,FALSE,FALSE
fansi,742340,non_tidy,FALSE,TRUE
htmltools,813889,non_tidy,FALSE,FALSE
ini,383923,non_tidy,FALSE,FALSE
lifecycle,591701,non_tidy,FALSE,FALSE
ore,4383,non_tidy,FALSE,FALSE
plyr,768509,non_tidy,FALSE,TRUE
Rcpp,1045559,non_tidy,FALSE,TRUE
rlist,135813,non_tidy,FALSE,TRUE
rvest,359297,non_tidy,FALSE,TRUE
stringi,708269,non_tidy,FALSE,TRUE
sys,456575,non_tidy,FALSE,FALSE
